,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
A,127.0,0.20616883116883117,"(9.850393700787402, 17.881889763779526)","(0.42144731908511435, 0.6252551764362787)","(3897.228346456692, 3038.1574803149624)","(0.5619338914661087, 0.43806610853389116)"
B,168.0,0.3,"(9.619047619047619, 17.24404761904762)","(0.45363408521303256, 0.60163139329806)","(7104.994047619044, 4699.619047619048)","(0.6018828393863375, 0.39811716061366254)"
C,121.0,0.19642857142857142,"(9.793388429752065, 17.024793388429753)","(0.41873278236914596, 0.593510866238139)","(6164.925619834715, 4091.8347107438003)","(0.6010597324240092, 0.3989402675759907)"
D,152.0,0.24675324675324675,"(10.217105263157896, 17.17763157894737)","(0.43890977443609025, 0.5991715399610137)","(6870.2039473684135, 5889.835526315794)","(0.5384155716396682, 0.4615844283603318)"
E,133.0,0.2261904761904762,"(8.075187969924812, 17.015037593984964)","(0.3537593984962406, 0.5931495405179616)","(6777.969924812042, 3137.2481203007505)","(0.6835926243853911, 0.3164073756146088)"
F,105.0,0.1875,"(7.40952380952381, 14.971428571428572)","(0.33734335839599, 0.5174603174603175)","(3910.9142857142842, 2431.3904761904755)","(0.6166392869048656, 0.3833607130951345)"
G,150.0,0.2329192546583851,"(11.346666666666666, 17.333333333333332)","(0.4703030303030303, 0.6049382716049382)","(6585.333333333334, 5925.97333333333)","(0.5263505650355733, 0.4736494349644267)"
H,139.0,0.22564935064935066,"(10.784172661870503, 16.992805755395683)","(0.46591298389859537, 0.592326139088729)","(4328.992805755391, 6117.525179856117)","(0.4143957643798557, 0.5856042356201444)"
I,59.0,0.26339285714285715,"(4.101694915254237, 16.966101694915253)","(0.44309927360774815, 0.591337099811676)","(2183.932203389831, 129.38983050847455)","(0.9440675234089944, 0.05593247659100565)"
J,89.0,0.1869747899159664,"(8.831460674157304, 17.96629213483146)","(0.4894662921348315, 0.6283811901789429)","(4152.898876404495, 1428.4719101123594)","(0.744064323129512, 0.25593567687048807)"
K,134.0,0.21753246753246752,"(8.597014925373134, 16.91044776119403)","(0.3617626154939588, 0.5892758430071863)","(4780.925373134326, 3344.23880597015)","(0.5884096945917049, 0.411590305408295)"
L,79.0,0.16596638655462187,"(4.987341772151899, 19.455696202531644)","(0.24920886075949367, 0.6835443037974683)","(3493.5949367088615, 610.9873417721518)","(0.8511450617093586, 0.14885493829064148)"
M,197.0,0.2814285714285714,"(12.578680203045685, 16.761421319796955)","(0.4824450084602369, 0.5837563451776651)","(6643.78680203046, 10338.030456852786)","(0.3912294367998262, 0.6087705632001739)"
N,155.0,0.25162337662337664,"(10.780645161290323, 17.083870967741934)","(0.4657450076804916, 0.5956989247311827)","(5457.909677419352, 5832.541935483865)","(0.483409332464772, 0.5165906675352281)"
O,139.0,0.2158385093167702,"(11.510791366906474, 17.07913669064748)","(0.4777632439502943, 0.5955235811350919)","(6138.129496402881, 6150.733812949641)","(0.49948716507664437, 0.5005128349233556)"
P,130.0,0.23214285714285715,"(9.084615384615384, 14.907692307692308)","(0.42550607287449393, 0.5150997150997151)","(4088.8923076923074, 4252.069230769231)","(0.49021833859774505, 0.5097816614022548)"
Q,163.0,0.20843989769820973,"(11.723926380368098, 18.828220858895705)","(0.48745119910764084, 0.5402491169362335)","(10195.190184049085, 6286.576687116578)","(0.6185738618767417, 0.3814261381232584)"
R,154.0,0.25,"(10.2012987012987, 16.058441558441558)","(0.43815708101422385, 0.5577200577200577)","(5698.474025974029, 5242.75974025974)","(0.5208255437846822, 0.4791744562153178)"
S,136.0,0.24285714285714285,"(10.102941176470589, 17.397058823529413)","(0.4791021671826626, 0.6072984749455338)","(6270.558823529411, 3198.558823529411)","(0.6622115235284982, 0.33778847647150173)"
T,86.0,0.14625850340136054,"(9.755813953488373, 13.779069767441861)","(0.43779069767441864, 0.4732988802756245)","(3744.802325581396, 995.8720930232533)","(0.7899302915393261, 0.2100697084606739)"
U,127.0,0.20616883116883117,"(10.834645669291339, 17.677165354330707)","(0.4683164604424447, 0.6176727909011374)","(4947.7637795275605, 5443.527559055118)","(0.4761452276057935, 0.5238547723942064)"
V,113.0,0.17546583850931677,"(10.11504424778761, 16.495575221238937)","(0.414320193081255, 0.5739101933792199)","(3962.247787610616, 3051.504424778764)","(0.5649255445054844, 0.4350744554945157)"
W,207.0,0.23847926267281108,"(14.202898550724637, 16.840579710144926)","(0.44009661835748787, 0.586688137412775)","(7063.7391304347875, 12653.478260869553)","(0.35825233298639936, 0.6417476670136006)"
X,121.0,0.19642857142857142,"(10.024793388429751, 16.950413223140497)","(0.42975206611570244, 0.5907560453014999)","(4707.702479338844, 2586.9256198347093)","(0.6453656602277235, 0.3546343397722765)"
Y,92.0,0.14935064935064934,"(10.434782608695652, 14.956521739130435)","(0.4492753623188406, 0.5169082125603865)","(3035.8260869565224, 1698.6086956521726)","(0.641222495683797, 0.358777504316203)"
Z,118.0,0.2006802721088435,"(9.025423728813559, 17.110169491525422)","(0.40127118644067794, 0.5966729441305711)","(6951.567796610163, 2622.9237288135596)","(0.7260508590091962, 0.2739491409908038)"
