,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
A,21.0,0.21875,"(3.0952380952380953, 7.523809523809524)","(0.29931972789115646, 0.5930735930735931)","(111.23809523809523, 59.80952380952382)","(0.6503340757238307, 0.3496659242761693)"
B,27.0,0.32142857142857145,"(3.037037037037037, 7.222222222222222)","(0.3395061728395062, 0.5656565656565656)","(202.6666666666666, 82.96296296296298)","(0.7095435684647302, 0.29045643153526984)"
C,17.0,0.16346153846153846,"(2.823529411764706, 7.470588235294118)","(0.2605042016806723, 0.5392156862745098)","(170.23529411764707, 54.470588235294116)","(0.7575916230366493, 0.24240837696335077)"
D,27.0,0.28125,"(3.6666666666666665, 7.148148148148148)","(0.38095238095238093, 0.5589225589225589)","(219.40740740740745, 142.00000000000003)","(0.6070916171346586, 0.39290838286534124)"
E,21.0,0.25,"(2.4285714285714284, 7.0)","(0.23809523809523805, 0.5454545454545454)","(188.0, 47.14285714285713)","(0.7995139732685298, 0.20048602673147017)"
F,15.0,0.20833333333333334,"(1.8, 6.2)","(0.16, 0.4727272727272727)","(98.4, 18.400000000000006)","(0.8424657534246575, 0.1575342465753425)"
G,22.0,0.21153846153846154,"(3.5, 7.636363636363637)","(0.35714285714285715, 0.5530303030303031)","(179.0909090909091, 89.5)","(0.666779488915214, 0.3332205110847859)"
H,22.0,0.22916666666666666,"(3.5, 7.0)","(0.35714285714285715, 0.5454545454545454)","(120.0, 117.5)","(0.5052631578947369, 0.49473684210526314)"
I,9.0,0.25,"(1.0, 7.0)","(0.0, 0.5454545454545454)","(60.0, 0.0)","(1.0, 0.0)"
J,12.0,0.2,"(0.9166666666666666, 8.416666666666666)","(-0.02777777777777779, 0.5297619047619048)","(132.91666666666669, 0.9166666666666666)","(0.9931506849315069, 0.00684931506849315)"
K,22.0,0.22916666666666666,"(2.8636363636363638, 6.818181818181818)","(0.26623376623376627, 0.5289256198347108)","(161.27272727272725, 74.59090909090908)","(0.6837540952013876, 0.3162459047986125)"
L,13.0,0.18055555555555555,"(1.7692307692307692, 8.23076923076923)","(0.15384615384615383, 0.6573426573426573)","(104.30769230769229, 22.307692307692307)","(0.8238153098420413, 0.1761846901579587)"
M,29.0,0.26851851851851855,"(3.9310344827586206, 6.620689655172414)","(0.36637931034482757, 0.5109717868338558)","(164.82758620689657, 185.86206896551724)","(0.47000983284169123, 0.5299901671583087)"
N,29.0,0.3020833333333333,"(3.4482758620689653, 6.931034482758621)","(0.34975369458128075, 0.5391849529780565)","(183.86206896551727, 125.17241379310344)","(0.5949564829279179, 0.4050435170720821)"
O,24.0,0.20512820512820512,"(3.875, 7.25)","(0.359375, 0.5208333333333334)","(188.5, 122.625)","(0.6058658095620731, 0.39413419043792686)"
P,21.0,0.25,"(2.5238095238095237, 6.0476190476190474)","(0.25396825396825395, 0.4588744588744589)","(112.95238095238093, 53.23809523809523)","(0.6796561604584528, 0.32034383954154727)"
Q,25.0,0.1984126984126984,"(3.92, 7.44)","(0.365, 0.4953846153846154)","(210.15999999999997, 123.84)","(0.6292215568862275, 0.37077844311377245)"
R,24.0,0.25,"(3.0, 6.666666666666667)","(0.2857142857142857, 0.5151515151515151)","(167.33333333333334, 80.0)","(0.6765498652291105, 0.32345013477088946)"
S,17.0,0.1868131868131868,"(2.9411764705882355, 7.294117647058823)","(0.3235294117647059, 0.5245098039215687)","(139.52941176470588, 34.94117647058823)","(0.7997302764666218, 0.20026972353337827)"
T,14.0,0.14583333333333334,"(2.7857142857142856, 5.571428571428571)","(0.25510204081632654, 0.41558441558441556)","(111.42857142857143, 18.35714285714286)","(0.8585580627407816, 0.14144193725921853)"
U,20.0,0.20833333333333334,"(3.5, 7.1)","(0.35714285714285715, 0.5545454545454546)","(113.79999999999998, 97.0)","(0.5398481973434535, 0.46015180265654654)"
V,18.0,0.1875,"(3.3333333333333335, 6.666666666666667)","(0.33333333333333337, 0.5151515151515151)","(106.00000000000001, 64.0)","(0.623529411764706, 0.3764705882352941)"
W,32.0,0.24242424242424243,"(4.9375, 7.09375)","(0.39375, 0.5539772727272727)","(190.71875, 227.875)","(0.45561776782381486, 0.5443822321761852)"
X,21.0,0.21875,"(3.1904761904761907, 7.095238095238095)","(0.3129251700680272, 0.5541125541125541)","(121.80952380952378, 49.23809523809524)","(0.7121380846325166, 0.28786191536748335)"
Y,14.0,0.14583333333333334,"(2.857142857142857, 6.214285714285714)","(0.2653061224489796, 0.474025974025974)","(82.35714285714285, 27.71428571428571)","(0.7482154445165478, 0.2517845554834523)"
Z,22.0,0.2619047619047619,"(3.3181818181818183, 7.090909090909091)","(0.3863636363636364, 0.5537190082644629)","(245.8181818181818, 68.77272727272727)","(0.7813899725473198, 0.21861002745268024)"
