,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
0,128.0,0.3422459893048128,"(12.8203125, 21.375)","(0.73876953125, 0.9702380952380952)","(4390.0, 2494.8671875)","(0.637630310134432, 0.36236968986556795)"
1,146.0,0.44242424242424244,"(30.335616438356166, 20.76027397260274)","(2.0954011741682974, 0.9409654272667971)","(7308.609589041091, 2586.5547945205476)","(0.738604161158003, 0.26139583884199713)"
2,159.0,0.4818181818181818,"(49.74842767295598, 20.41509433962264)","(3.482030548068284, 0.9245283018867925)","(7378.603773584902, 2897.93710691824)","(0.7180046145278064, 0.28199538547219366)"
3,74.0,0.25874125874125875,"(65.93243243243244, 16.64864864864865)","(5.411036036036037, 0.7451737451737452)","(3400.864864864863, 900.6621621621617)","(0.7906180394768672, 0.2093819605231329)"
4,192.0,0.3742690058479532,"(86.796875, 22.885416666666668)","(4.766493055555555, 0.8417467948717949)","(12495.479166666666, 5765.078125)","(0.6842879418783712, 0.3157120581216289)"
5,124.0,0.4025974025974026,"(104.29838709677419, 19.758064516129032)","(7.946029776674938, 0.8932411674347158)","(6534.741935483879, 1653.959677419356)","(0.7980193007871783, 0.20198069921282166)"
6,124.0,0.4025974025974026,"(121.29838709677419, 19.758064516129032)","(9.253722084367245, 0.8932411674347158)","(6534.741935483879, 1653.959677419356)","(0.7980193007871783, 0.20198069921282166)"
7,217.0,0.3653198653198653,"(144.98617511520737, 20.327188940092167)","(5.537929812123361, 0.9203423304805793)","(8065.769585253453, 10674.958525345617)","(0.43038720468345887, 0.5696127953165412)"
8,115.0,0.34226190476190477,"(169.33913043478262, 20.382608695652173)","(12.949163879598663, 0.8427221172022684)","(5987.1652173913035, 1571.7739130434768)","(0.7920642188114736, 0.20793578118852646)"
9,164.0,0.4659090909090909,"(187.5060975609756, 20.51829268292683)","(12.433739837398374, 0.9294425087108015)","(6180.945121951222, 4638.993902439035)","(0.5712550789813292, 0.42874492101867084)"
10,164.0,0.4659090909090909,"(207.5060975609756, 20.51829268292683)","(13.767073170731708, 0.9294425087108015)","(6180.945121951222, 4638.993902439035)","(0.5712550789813292, 0.42874492101867084)"
11,126.0,0.35795454545454547,"(225.68253968253967, 20.428571428571427)","(14.978835978835978, 0.9251700680272108)","(4522.857142857141, 2699.301587301588)","(0.6262472637122083, 0.37375273628779165)"
12,149.0,0.3983957219251337,"(246.98657718120805, 19.51006711409396)","(15.374161073825503, 0.8814317673378076)","(6979.2348993288515, 3761.9731543624157)","(0.6497625652945438, 0.3502374347054562)"
13,183.0,0.43779904306220097,"(268.05464480874315, 19.666666666666668)","(14.836369156041286, 0.888888888888889)","(6434.666666666668, 7523.453551912561)","(0.4609980832592113, 0.5390019167407888)"
14,140.0,0.3977272727272727,"(289.67857142857144, 20.392857142857142)","(19.245238095238097, 0.923469387755102)","(4453.392857142863, 4480.535714285708)","(0.4984809114531287, 0.5015190885468711)"
15,146.0,0.3201754385964912,"(309.32191780821915, 20.602739726027398)","(17.128995433789953, 0.8522930315664086)","(7014.958904109588, 5085.869863013703)","(0.579708963667721, 0.42029103633227916)"
16,140.0,0.3977272727272727,"(330.67857142857144, 18.464285714285715)","(21.97857142857143, 0.8316326530612246)","(6574.821428571434, 4480.53571428571)","(0.5947181392343729, 0.40528186076562706)"
17,108.0,0.35064935064935066,"(347.43518518518516, 17.72222222222222)","(26.648860398860396, 0.7962962962962963)","(3535.666666666665, 1682.546296296296)","(0.6775627387693033, 0.32243726123069666)"
18,103.0,0.25245098039215685,"(363.3980582524272, 20.54368932038835)","(22.6498786407767, 0.8497256226255804)","(6311.553398058253, 2100.6796116504893)","(0.7502827597350133, 0.24971724026498657)"
19,217.0,0.30823863636363635,"(390.7649769585253, 18.29032258064516)","(12.573063772855656, 0.8233486943164362)","(9582.70967741936, 15597.013824884783)","(0.3805724743777455, 0.6194275256222544)"
20,185.0,0.4004329004329004,"(418.2648648648649, 20.25945945945946)","(20.863243243243243, 0.9171171171171172)","(5885.545945945944, 5318.0216216216295)","(0.5253278395877756, 0.4746721604122243)"
21,118.0,0.3352272727272727,"(438.8898305084746, 20.661016949152543)","(29.192655367231637, 0.9362389023405973)","(5004.440677966102, 1959.5677966101691)","(0.7186149609432518, 0.2813850390567481)"
22,145.0,0.29835390946502055,"(459.4758620689655, 23.144827586206898)","(26.969168356997972, 0.8517241379310345)","(7733.95862068966, 5184.165517241374)","(0.5986905326277759, 0.401309467372224)"
23,117.0,0.37987012987012986,"(479.0854700854701, 19.102564102564102)","(36.775805391190005, 0.862026862026862)","(3770.7692307692305, 2777.1452991453048)","(0.5758733125703227, 0.42412668742967735)"
24,188.0,0.3418181818181818,"(502.0, 22.29255319148936)","(20.875, 1.0139311043566361)","(8946.909574468085, 11066.0)","(0.44705691299791334, 0.5529430870020867)"
25,203.0,0.2784636488340192,"(531.9211822660099, 23.064039408866996)","(20.42004547176961, 0.8486169003410383)","(10532.16748768475, 13228.738916256158)","(0.4432561329368277, 0.5567438670631724)"
26,132.0,0.3,"(557.75, 21.583333333333332)","(29.30263157894737, 0.9801587301587301)","(6030.083333333334, 3306.75)","(0.645838167829921, 0.35416183217007907)"
27,116.0,0.3515151515151515,"(577.0344827586207, 23.28448275862069)","(41.145320197044335, 1.0611658456486044)","(3691.6120689655263, 2287.862068965512)","(0.6173807234230908, 0.3826192765769093)"
28,44.0,0.5,"(588.5, 20.5)","(195.83333333333334, 0.9285714285714286)","(1771.0, 11.0)","(0.9938271604938271, 0.006172839506172839)"
29,116.0,0.3515151515151515,"(601.0344827586207, 23.28448275862069)","(42.85960591133005, 1.0611658456486044)","(3691.6120689655263, 2287.862068965512)","(0.6173807234230908, 0.3826192765769093)"
30,129.0,0.3161764705882353,"(622.0, 20.573643410852714)","(38.8125, 0.8510279743849006)","(6389.5503875969025, 2668.0)","(0.705439121414829, 0.29456087858517105)"
31,204.0,0.3269230769230769,"(645.2941176470588, 20.416666666666668)","(25.77176470588235, 0.8442028985507247)","(8845.583333333325, 13230.352941176472)","(0.40068893220836876, 0.5993110677916312)"
32,161.0,0.48787878787878786,"(669.6024844720497, 19.645962732919255)","(47.75732031943212, 0.8879029872818693)","(6472.819875776395, 2930.5590062111746)","(0.6883504277569055, 0.31164957224309453)"
