,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
A,21.0,0.19444444444444445,"(3.9047619047619047, 7.761904761904762)","(0.3630952380952381, 0.6147186147186147)","(171.8095238095238, 101.80952380952381)","(0.6279150713539854, 0.37208492864601467)"
B,21.0,0.19444444444444445,"(4.238095238095238, 7.285714285714286)","(0.40476190476190477, 0.5714285714285714)","(198.2857142857142, 77.80952380952382)","(0.7181786823042428, 0.2818213176957573)"
C,19.0,0.17592592592592593,"(3.8421052631578947, 6.7368421052631575)","(0.35526315789473684, 0.5215311004784688)","(185.6842105263158, 100.5263157894737)","(0.6487679293858036, 0.3512320706141964)"
D,17.0,0.1574074074074074,"(4.529411764705882, 7.0)","(0.4411764705882353, 0.5454545454545454)","(188.0, 78.23529411764706)","(0.7061422889969067, 0.2938577110030932)"
E,17.0,0.1574074074074074,"(3.823529411764706, 7.411764705882353)","(0.35294117647058826, 0.5828877005347594)","(214.1176470588236, 60.470588235294116)","(0.7797772065124251, 0.22022279348757495)"
F,15.0,0.1388888888888889,"(3.6, 6.0)","(0.325, 0.45454545454545453)","(170.0, 53.59999999999999)","(0.7602862254025045, 0.2397137745974955)"
G,21.0,0.19444444444444445,"(4.0476190476190474, 7.238095238095238)","(0.38095238095238093, 0.5670995670995671)","(179.8095238095238, 110.95238095238096)","(0.6184081231575499, 0.3815918768424501)"
H,23.0,0.21296296296296294,"(3.4782608695652173, 7.0)","(0.30978260869565216, 0.5454545454545454)","(220.0, 83.7391304347826)","(0.7243057543658745, 0.2756942456341253)"
I,17.0,0.1574074074074074,"(4.0, 7.0)","(0.375, 0.5454545454545454)","(188.0, 20.0)","(0.9038461538461539, 0.09615384615384616)"
J,19.0,0.17592592592592593,"(4.894736842105263, 7.2105263157894735)","(0.48684210526315785, 0.5645933014354066)","(193.15789473684205, 67.78947368421053)","(0.7402178297700684, 0.2597821702299315)"
K,19.0,0.17592592592592593,"(3.9473684210526314, 6.842105263157895)","(0.3684210526315789, 0.5311004784688995)","(172.5263157894737, 72.94736842105263)","(0.7028301886792453, 0.2971698113207547)"
L,12.0,0.1111111111111111,"(3.75, 8.25)","(0.34375, 0.6590909090909091)","(166.25, 50.25)","(0.7678983833718245, 0.23210161662817552)"
M,32.0,0.2962962962962963,"(4.0625, 6.96875)","(0.3828125, 0.5426136363636364)","(240.96875, 249.875)","(0.49092761189278666, 0.5090723881072133)"
N,25.0,0.23148148148148148,"(4.68, 6.84)","(0.45999999999999996, 0.5309090909090909)","(231.35999999999999, 133.44000000000003)","(0.6342105263157894, 0.3657894736842106)"
O,18.0,0.16666666666666666,"(4.0, 7.0)","(0.375, 0.5454545454545454)","(152.0, 92.0)","(0.6229508196721312, 0.3770491803278688)"
P,15.0,0.1388888888888889,"(3.4, 6.8)","(0.3, 0.5272727272727272)","(156.39999999999998, 37.6)","(0.8061855670103093, 0.19381443298969075)"
Q,25.0,0.1984126984126984,"(4.24, 8.52)","(0.405, 0.5784615384615385)","(302.23999999999995, 118.55999999999999)","(0.7182509505703422, 0.2817490494296578)"
R,19.0,0.17592592592592593,"(4.2105263157894735, 7.105263157894737)","(0.4013157894736842, 0.5550239234449761)","(183.78947368421052, 81.15789473684211)","(0.6936829558998808, 0.30631704410011923)"
S,17.0,0.1574074074074074,"(3.588235294117647, 7.588235294117647)","(0.3235294117647059, 0.5989304812834224)","(160.11764705882354, 58.117647058823536)","(0.7336927223719676, 0.26630727762803236)"
T,21.0,0.19444444444444445,"(4.0, 6.333333333333333)","(0.375, 0.4848484848484848)","(228.66666666666663, 56.0)","(0.8032786885245902, 0.19672131147540986)"
U,11.0,0.10185185185185186,"(4.0, 6.454545454545454)","(0.375, 0.4958677685950413)","(158.72727272727275, 38.0)","(0.8068391866913124, 0.1931608133086876)"
V,16.0,0.14814814814814814,"(3.9375, 5.6875)","(0.3671875, 0.42613636363636365)","(121.4375, 94.9375)","(0.5612362796071635, 0.4387637203928365)"
W,29.0,0.26851851851851855,"(4.0344827586206895, 6.482758620689655)","(0.3793103448275862, 0.49843260188087773)","(187.24137931034488, 176.9655172413793)","(0.5141071766710851, 0.48589282332891487)"
X,17.0,0.1574074074074074,"(4.0, 6.882352941176471)","(0.375, 0.5347593582887701)","(157.7647058823529, 72.0)","(0.6866359447004607, 0.3133640552995392)"
Y,17.0,0.1574074074074074,"(4.0, 7.117647058823529)","(0.375, 0.5561497326203209)","(177.7647058823529, 46.0)","(0.7944269190325972, 0.20557308096740276)"
Z,15.0,0.1388888888888889,"(4.0, 6.866666666666666)","(0.375, 0.5333333333333333)","(177.73333333333332, 30.0)","(0.8555840821566111, 0.14441591784338897)"
