,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
0,33.0,0.3333333333333333,"(8.181818181818182, 11.393939393939394)","(0.8977272727272727, 1.0393939393939395)","(297.87878787878776, 164.90909090909093)","(0.6436616029334729, 0.3563383970665271)"
1,41.0,0.5324675324675324,"(16.26829268292683, 11.24390243902439)","(2.5447154471544717, 1.024390243902439)","(489.5609756097561, 192.0487804878049)","(0.7182423244829313, 0.28175767551706865)"
2,48.0,0.6233766233766234,"(25.6875, 10.895833333333334)","(4.114583333333333, 0.9895833333333334)","(526.4791666666666, 244.3125)","(0.6830369209146441, 0.316963079085356)"
3,26.0,0.3939393939393939,"(32.96153846153846, 10.23076923076923)","(6.392307692307692, 0.923076923076923)","(304.61538461538464, 40.96153846153853)","(0.8814691151919866, 0.11853088480801353)"
4,49.0,0.35,"(44.38775510204081, 12.020408163265307)","(4.820861678004535, 0.847723704866562)","(702.9795918367344, 327.6326530612243)","(0.6820990099009901, 0.3179009900990099)"
5,36.0,0.4675324675324675,"(52.80555555555556, 11.0)","(8.63425925925926, 1.0)","(470.0, 127.63888888888884)","(0.7864280734371369, 0.21357192656286308)"
6,36.0,0.4675324675324675,"(61.80555555555556, 11.0)","(10.13425925925926, 1.0)","(470.0, 127.63888888888884)","(0.7864280734371369, 0.21357192656286308)"
7,50.0,0.34965034965034963,"(75.0, 10.92)","(6.166666666666667, 0.992)","(417.68, 632.0)","(0.3979117445316668, 0.6020882554683332)"
8,29.0,0.37662337662337664,"(87.34482758620689, 10.96551724137931)","(14.390804597701148, 0.9965517241379309)","(372.96551724137953, 102.55172413793103)","(0.7843364757070341, 0.2156635242929658)"
9,56.0,0.6363636363636364,"(96.5, 11.0)","(13.642857142857142, 1.0)","(508.0, 422.0)","(0.546236559139785, 0.45376344086021503)"
10,56.0,0.6363636363636364,"(106.5, 11.0)","(15.071428571428571, 1.0)","(508.0, 422.0)","(0.546236559139785, 0.45376344086021503)"
11,41.0,0.4659090909090909,"(115.46341463414635, 10.75609756097561)","(16.351916376306622, 0.975609756097561)","(391.5609756097562, 224.1951219512194)","(0.6359027172621408, 0.3640972827378593)"
12,39.0,0.4431818181818182,"(127.56410256410257, 10.692307692307692)","(18.08058608058608, 0.9692307692307691)","(442.3076923076923, 219.58974358974356)","(0.668242039203533, 0.33175796079646697)"
13,50.0,0.45454545454545453,"(136.52, 10.74)","(15.05777777777778, 0.974)","(439.6199999999999, 496.4799999999997)","(0.46962931310757405, 0.530370686892426)"
14,47.0,0.5340909090909091,"(148.4468085106383, 11.106382978723405)","(21.063829787234045, 1.0106382978723405)","(414.4680851063829, 405.6170212765955)","(0.5053964300539644, 0.49460356994603555)"
15,39.0,0.3939393939393939,"(159.17948717948718, 11.0)","(19.772435897435898, 1.0)","(462.0, 343.74358974358955)","(0.573383401221996, 0.4266165987780039)"
16,48.0,0.5454545454545454,"(169.5, 10.583333333333334)","(24.071428571428573, 0.9583333333333334)","(531.6666666666665, 412.0)","(0.5634051571882727, 0.4365948428117274)"
17,38.0,0.4935064935064935,"(177.97368421052633, 10.157894736842104)","(29.495614035087723, 0.9157894736842105)","(329.0526315789474, 146.97368421052647)","(0.691248825252916, 0.3087511747470841)"
18,54.0,0.3068181818181818,"(191.22222222222223, 10.37037037037037)","(12.681481481481482, 0.937037037037037)","(756.5925925925926, 1259.3333333333335)","(0.37530773470512585, 0.6246922652948742)"
19,28.0,0.36363636363636365,"(203.53571428571428, 10.714285714285714)","(33.75595238095238, 0.9714285714285713)","(265.7142857142857, 84.96428571428572)","(0.7577146348915368, 0.24228536510846319)"
20,45.0,0.4090909090909091,"(213.4, 10.88888888888889)","(23.6, 0.9888888888888889)","(352.44444444444423, 344.8000000000003)","(0.5054818969913306, 0.49451810300866944)"
21,30.0,0.38961038961038963,"(224.2, 10.9)","(37.199999999999996, 0.99)","(310.70000000000005, 114.79999999999993)","(0.7301997649823738, 0.2698002350176261)"
22,50.0,0.42735042735042733,"(233.72, 11.86)","(29.09, 0.9049999999999999)","(588.0200000000006, 464.07999999999953)","(0.5589012451287905, 0.4410987548712095)"
23,26.0,0.33766233766233766,"(243.65384615384616, 10.423076923076923)","(40.44230769230769, 0.9423076923076923)","(164.34615384615387, 155.8846153846154)","(0.5132116262310833, 0.4867883737689166)"
24,53.0,0.3706293706293706,"(253.73584905660377, 11.830188679245284)","(21.06132075471698, 1.0830188679245283)","(619.4716981132082, 922.3018867924528)","(0.40179161465599555, 0.5982083853440044)"
25,56.0,0.33136094674556216,"(268.125, 12.107142857142858)","(22.260416666666668, 0.9255952380952381)","(697.3571428571427, 1072.125)","(0.3941023907317516, 0.6058976092682484)"
26,38.0,0.3838383838383838,"(281.8421052631579, 11.657894736842104)","(35.10526315789474, 1.0657894736842104)","(400.5526315789472, 189.05263157894746)","(0.6793572863200177, 0.3206427136799823)"
27,36.0,0.4675324675324675,"(291.02777777777777, 11.972222222222221)","(48.33796296296296, 1.097222222222222)","(332.97222222222223, 164.97222222222223)","(0.668693517795381, 0.331306482204619)"
28,22.0,1.0,"(297.5, 11.0)","(296.5, 1.0)","(220.0, 5.5)","(0.975609756097561, 0.024390243902439025)"
29,36.0,0.4675324675324675,"(303.02777777777777, 11.972222222222221)","(50.33796296296296, 1.097222222222222)","(332.97222222222223, 164.97222222222223)","(0.668693517795381, 0.331306482204619)"
30,29.0,0.32954545454545453,"(313.7241379310345, 11.0)","(44.67487684729064, 1.0)","(344.0, 161.79310344827584)","(0.6801199890919007, 0.31988001090809925)"
31,63.0,0.4405594405594406,"(324.3174603174603, 11.0)","(26.943121693121693, 1.0)","(682.0, 1195.6507936507937)","(0.36321982889798127, 0.6367801711020188)"
32,37.0,0.4805194805194805,"(337.18918918918916, 10.594594594594595)","(56.03153153153153, 0.9594594594594594)","(354.918918918919, 185.67567567567565)","(0.6565343465653435, 0.3434656534346564)"
